opportunity_id,bd_rep_id,sales_rep_id,created_date,closed_date,outcome,current_stage,days_in_current_stage,deal_value
OPP_0155,BD_010,SR_004,2024-12-18,2025-03-16,Closed Lost,Closed Lost,23,50444.16
OPP_0156,BD_009,SR_013,2024-02-09,2024-03-20,Closed Won,Closed Won,12,42520.02
OPP_0157,BD_018,SR_020,2023-12-19,2024-04-16,Closed Lost,Closed Lost,23,99218.94
OPP_0158,BD_008,SR_010,2024-07-17,2024-10-30,Closed Won,Closed Won,4,243878.48
OPP_0159,BD_005,SR_023,2023-11-17,2024-03-28,Closed Lost,Closed Lost,18,43105.94
OPP_0160,BD_010,SR_017,2023-09-29,,Open,Qualification,42,38317.62
OPP_0161,BD_001,SR_010,2024-06-14,2024-09-17,Closed Lost,Closed Lost,3,28495.66
OPP_0162,BD_013,SR_009,2023-07-23,2023-09-28,Closed Won,Closed Won,10,38283.6
OPP_0163,BD_013,SR_006,2023-04-05,,Open,Qualification,96,152978.84
OPP_0164,BD_002,SR_022,2024-06-28,2024-11-11,Closed Lost,Closed Lost,3,124854.68
OPP_0165,BD_003,SR_005,2023-01-26,,Open,Qualification,68,37200.78
OPP_0166,BD_009,SR_005,2023-10-20,2024-01-16,Closed Lost,Closed Lost,3,119758.43
OPP_0167,BD_007,SR_019,2023-05-14,,Open,Negotiation,20,50013.46
OPP_0168,BD_007,SR_016,2024-10-05,2025-01-09,Closed Won,Closed Won,2,39188.58
OPP_0169,BD_017,SR_002,2023-03-10,,Open,Negotiation,111,182582.78
OPP_0170,BD_011,SR_008,2023-08-07,2023-10-05,Closed Won,Closed Won,10,109687.8
OPP_0171,BD_007,SR_007,2023-06-03,2023-08-17,Closed Lost,Closed Lost,27,100975.39
OPP_0172,BD_003,SR_005,2023-01-26,,Open,Qualification,68,37200.78
OPP_0173,BD_012,SR_005,2024-08-17,2025-02-04,Closed Won,Closed Won,17,54865.95
OPP_0174,BD_002,SR_002,2023-08-31,2023-11-20,Closed Won,Closed Won,4,82122.98
OPP_0175,BD_007,SR_005,2023-06-09,2023-07-30,Closed Lost,Closed Lost,2,27410.21
OPP_0176,BD_017,SR_019,2024-09-22,,Open,Proposal,97,151433.55
OPP_0177,BD_010,SR_023,2023-06-14,2023-08-28,Closed Won,Closed Won,25,26758.0
OPP_0178,BD_014,SR_007,2024-10-31,2025-03-20,Closed Lost,Closed Lost,22,75407.67
OPP_0179,BD_002,SR_010,2023-03-30,,Open,Qualification,11,31637.26
OPP_0180,BD_016,SR_021,2024-05-06,2024-07-10,Closed Won,Closed Won,6,85424.3
OPP_0181,BD_013,SR_007,2023-12-28,2024-05-20,Closed Won,Closed Won,1,38666.7
OPP_0182,BD_007,SR_014,2024-10-25,2025-04-05,Closed Lost,Closed Lost,12,108734.12
OPP_0183,BD_018,SR_016,2023-05-09,2023-09-17,Closed Lost,Closed Lost,24,80418.39
OPP_0184,BD_008,SR_015,2023-03-11,2023-04-25,Closed Won,Closed Won,26,101060.16
OPP_0185,BD_004,SR_001,2024-09-19,,Open,Qualification,13,37219.03
OPP_0186,BD_001,SR_011,2024-10-12,2025-03-09,Closed Lost,Closed Lost,22,31724.84
OPP_0187,BD_001,SR_001,2023-08-20,2023-11-09,Closed Won,Closed Won,10,30624.46
OPP_0188,BD_006,SR_017,2024-08-25,2025-01-27,Closed Lost,Closed Lost,29,66957.14
OPP_0189,BD_014,SR_004,2024-12-28,,Open,Proposal,62,37481.83
OPP_0190,BD_001,SR_001,2023-08-20,2023-11-09,Closed Won,Closed Won,10,30624.46
OPP_0191,BD_017,SR_021,2024-10-04,2025-02-10,Closed Lost,Closed Lost,6,138683.7
OPP_0192,BD_006,SR_022,2024-08-15,,Open,Qualification,39,90505.41
OPP_0193,BD_008,SR_008,2024-07-22,2024-09-20,Closed Won,Closed Won,18,64656.81
OPP_0194,BD_009,SR_005,2023-10-20,2024-01-16,Closed Lost,Closed Lost,3,119758.43
OPP_0195,BD_018,SR_022,2024-08-17,,Open,Negotiation,54,65718.21
OPP_0196,BD_002,SR_003,2024-12-15,,Open,Qualification,68,28017.09
OPP_0197,BD_013,SR_003,2024-07-25,,Open,Qualification,61,38792.46
OPP_0198,BD_004,SR_015,2023-06-04,,Open,Negotiation,80,16676.32
OPP_0199,BD_009,SR_013,2024-02-09,2024-03-20,Closed Won,Closed Won,12,42520.02
OPP_0200,BD_016,SR_021,2024-05-06,2024-07-10,Closed Won,Closed Won,6,85424.3
OPP_0201,BD_013,SR_012,2023-11-16,2024-04-28,Closed Won,Closed Won,12,64843.68
OPP_0202,BD_015,SR_008,2023-12-05,,Open,Proposal,65,79274.42
OPP_0203,BD_008,SR_010,2024-07-17,2024-10-30,Closed Won,Closed Won,4,243878.48
OPP_0204,BD_011,SR_009,2023-11-25,2024-02-12,Closed Won,Closed Won,19,71293.56
OPP_0205,BD_012,SR_013,2024-07-24,2024-09-02,Closed Lost,Closed Lost,2,13729.37
OPP_0206,BD_005,SR_005,2024-02-18,2024-06-05,Closed Won,Closed Won,15,119696.89
OPP_0207,BD_012,SR_018,2024-03-11,,Open,Proposal,35,35390.4
OPP_0208,BD_012,SR_022,2023-05-22,,Open,Proposal,82,23737.78
OPP_0209,BD_017,SR_021,2024-10-04,2025-02-10,Closed Lost,Closed Lost,6,138683.7
OPP_0210,BD_015,SR_014,2023-07-16,,Open,Qualification,24,61036.15
OPP_0211,BD_012,SR_002,2023-11-20,2024-01-06,Closed Won,Closed Won,19,40371.34
OPP_0212,BD_015,SR_007,2023-03-13,,Open,Qualification,24,144736.14
OPP_0213,BD_012,SR_022,2023-05-22,,Open,Proposal,82,23737.78
OPP_0214,BD_007,SR_010,2023-05-20,,Open,Qualification,109,21433.4
OPP_0215,BD_010,SR_007,2024-05-11,2024-08-28,Closed Won,Closed Won,27,38753.19
OPP_0216,BD_001,SR_008,2023-07-03,,Open,Proposal,25,49951.38
OPP_0217,BD_007,SR_023,2024-03-21,2024-06-29,Closed Lost,Closed Lost,5,30068.8
OPP_0218,BD_008,SR_002,2024-11-02,2024-12-14,Closed Won,Closed Won,29,89270.08
OPP_0219,BD_009,SR_020,2023-07-03,,Open,Qualification,11,122261.8
OPP_0220,BD_011,SR_016,2023-08-02,,Open,Negotiation,27,106504.6
OPP_0221,BD_001,SR_004,2024-02-01,2024-05-07,Closed Lost,Closed Lost,20,88603.08
OPP_0222,BD_014,SR_023,2024-11-28,2025-01-28,Closed Won,Closed Won,24,21714.08
OPP_0223,BD_006,SR_004,2023-05-17,2023-08-18,Closed Won,Closed Won,5,34710.31
OPP_0224,BD_015,SR_020,2023-07-07,2023-12-15,Closed Won,Closed Won,28,60314.64
OPP_0225,BD_015,SR_009,2024-02-26,,Open,Negotiation,19,45322.41
OPP_0226,BD_009,SR_013,2024-02-09,2024-03-20,Closed Won,Closed Won,12,42520.02
OPP_0227,BD_010,SR_021,2024-05-04,2024-07-14,Closed Lost,Closed Lost,15,45079.15
OPP_0228,BD_016,SR_010,2024-04-07,2024-09-01,Closed Won,Closed Won,3,69104.85
OPP_0229,BD_009,SR_006,2023-04-03,,Open,Negotiation,28,137987.79
OPP_0230,BD_001,SR_009,2023-08-03,,Open,Proposal,9,125446.47
OPP_0231,BD_010,SR_002,2024-03-24,,Open,Qualification,28,66805.69
OPP_0232,BD_012,SR_003,2024-08-12,2024-12-23,Closed Won,Closed Won,22,32649.54
OPP_0233,BD_016,SR_023,2024-09-27,2025-01-01,Closed Won,Closed Won,14,16651.52
OPP_0234,BD_003,SR_022,2024-02-21,,Open,Qualification,70,27412.4
OPP_0235,BD_015,SR_002,2024-07-26,,Open,Negotiation,1,35434.33
OPP_0236,BD_003,SR_013,2024-05-13,,Open,Negotiation,31,37013.33
OPP_0237,BD_003,SR_015,2023-12-12,2024-02-02,Closed Lost,Closed Lost,17,65521.66
OPP_0238,BD_001,SR_002,2024-06-08,2024-09-15,Closed Lost,Closed Lost,17,74443.71
OPP_0239,BD_018,SR_019,2024-07-09,2024-09-09,Closed Lost,Closed Lost,28,46360.01
OPP_0240,BD_006,SR_005,2023-11-27,,Open,Qualification,11,22905.18
OPP_0241,BD_017,SR_016,2024-07-09,,Open,Proposal,25,56091.63
OPP_0242,BD_009,SR_019,2023-04-09,2023-07-29,Closed Won,Closed Won,15,20902.72
OPP_0243,BD_016,SR_008,2023-04-30,2023-07-08,Closed Lost,Closed Lost,4,60679.37
OPP_0244,BD_013,SR_010,2024-06-10,,Open,Qualification,47,67115.4
OPP_0245,BD_002,SR_015,2024-09-20,,Open,Proposal,117,28599.13
OPP_0246,BD_014,SR_016,2023-01-25,2023-07-22,Closed Lost,Closed Lost,8,61680.25
OPP_0247,BD_012,SR_016,2024-06-20,2024-09-21,Closed Won,Closed Won,12,35635.65
OPP_0248,BD_003,SR_010,2023-08-06,2023-11-09,Closed Won,Closed Won,22,54524.8
OPP_0249,BD_016,SR_005,2024-12-15,2025-05-16,Closed Lost,Closed Lost,2,51519.44
OPP_0250,BD_013,SR_007,2023-12-28,2024-05-20,Closed Won,Closed Won,1,38666.7
OPP_0251,BD_016,SR_002,2024-05-26,2024-07-13,Closed Won,Closed Won,26,42680.44
OPP_0252,BD_013,SR_011,2024-06-08,2024-10-23,Closed Won,Closed Won,12,14578.68
OPP_0253,BD_007,SR_014,2024-10-25,2025-04-05,Closed Lost,Closed Lost,12,108734.12
OPP_0254,BD_014,SR_007,2024-10-31,2025-03-20,Closed Lost,Closed Lost,22,75407.67
OPP_0255,BD_001,SR_020,2023-09-18,2023-11-21,Closed Lost,Closed Lost,13,61082.66
OPP_0256,BD_004,SR_021,2024-04-17,,Open,Qualification,97,30583.57
OPP_0257,BD_007,SR_017,2024-09-17,2024-12-15,Closed Won,Closed Won,22,50030.08
OPP_0258,BD_013,SR_017,2023-02-19,2023-03-26,Closed Lost,Closed Lost,11,69386.68
OPP_0259,BD_011,SR_022,2023-01-29,,Open,Qualification,72,39741.54
OPP_0260,BD_018,SR_002,2023-12-24,2024-04-05,Closed Lost,Closed Lost,20,57952.97
OPP_0261,BD_001,SR_008,2023-07-03,,Open,Proposal,25,49951.38
OPP_0262,BD_004,SR_005,2023-10-04,2023-11-23,Closed Lost,Closed Lost,5,119640.07
OPP_0263,BD_002,SR_005,2023-06-30,,Open,Negotiation,12,22639.27
OPP_0264,BD_011,SR_018,2023-04-15,,Open,Qualification,51,35027.68
OPP_0265,BD_010,SR_020,2024-11-06,2025-04-11,Closed Won,Closed Won,5,23613.43
OPP_0266,BD_001,SR_002,2024-06-08,2024-09-15,Closed Lost,Closed Lost,17,74443.71
OPP_0267,BD_018,SR_005,2024-12-01,2024-12-31,Closed Won,Closed Won,13,70612.34
OPP_0268,BD_003,SR_009,2023-04-30,2023-06-21,Closed Won,Closed Won,3,129277.65
OPP_0269,BD_002,SR_008,2024-03-19,2024-07-29,Closed Won,Closed Won,6,29514.3
OPP_0270,BD_002,SR_009,2023-08-28,2024-02-10,Closed Lost,Closed Lost,5,64164.72
OPP_0271,BD_005,SR_001,2023-01-27,,Open,Qualification,102,67867.12
OPP_0272,BD_001,SR_021,2024-08-14,,Open,Negotiation,71,14356.98
OPP_0273,BD_009,SR_011,2024-05-14,2024-10-31,Closed Lost,Closed Lost,3,20719.43
OPP_0274,BD_009,SR_014,2023-01-16,,Open,Negotiation,53,59838.24
OPP_0275,BD_010,SR_004,2024-12-18,2025-03-16,Closed Lost,Closed Lost,23,50444.16
OPP_0276,BD_001,SR_005,2024-12-21,2025-01-23,Closed Won,Closed Won,26,25624.53
OPP_0277,BD_011,SR_015,2023-04-24,,Open,Negotiation,28,75043.85
OPP_0278,BD_004,SR_015,2023-06-04,,Open,Negotiation,80,16676.32
OPP_0279,BD_002,SR_016,2024-04-24,,Open,Negotiation,19,22413.53
OPP_0280,BD_014,SR_003,2023-09-10,,Open,Proposal,2,102504.36
OPP_0281,BD_010,SR_009,2023-11-13,,Open,Proposal,45,11981.71
OPP_0282,BD_001,SR_010,2024-06-14,2024-09-17,Closed Lost,Closed Lost,3,28495.66
OPP_0283,BD_007,SR_017,2024-09-17,2024-12-15,Closed Won,Closed Won,22,50030.08
OPP_0284,BD_013,SR_017,2023-02-19,2023-03-26,Closed Lost,Closed Lost,11,69386.68
OPP_0285,BD_010,SR_016,2023-10-10,2024-02-26,Closed Won,Closed Won,11,25984.75
OPP_0286,BD_013,SR_013,2023-01-26,,Open,Qualification,75,10643.97
OPP_0287,BD_004,SR_002,2024-02-15,2024-05-18,Closed Won,Closed Won,14,148433.58
OPP_0288,BD_002,SR_013,2023-01-10,,Open,Proposal,89,53362.44
OPP_0289,BD_010,SR_019,2024-07-10,,Open,Proposal,82,64960.07
OPP_0290,BD_001,SR_013,2023-01-20,,Open,Qualification,19,54510.94
OPP_0291,BD_009,SR_017,2023-11-21,2024-04-10,Closed Won,Closed Won,3,56984.04
OPP_0292,BD_016,SR_009,2024-04-08,2024-09-30,Closed Won,Closed Won,20,22758.41
OPP_0293,BD_013,SR_013,2023-01-26,,Open,Qualification,75,10643.97
OPP_0294,BD_003,SR_019,2023-03-13,,Open,Qualification,103,90342.17
OPP_0295,BD_007,SR_013,2024-10-09,2025-02-10,Closed Lost,Closed Lost,26,16937.51
OPP_0296,BD_004,SR_008,2024-08-04,2024-12-14,Closed Won,Closed Won,5,62435.31
OPP_0297,BD_005,SR_003,2024-05-15,2024-09-26,Closed Won,Closed Won,18,33485.29
OPP_0298,BD_016,SR_006,2023-06-11,,Open,Qualification,61,93087.15
OPP_0299,BD_008,SR_015,2023-03-11,2023-04-25,Closed Won,Closed Won,26,101060.16
OPP_0300,BD_005,SR_003,2024-05-15,2024-09-26,Closed Won,Closed Won,18,33485.29
